Placeing,Score,Name,Birth Year,Country,Height (cm),Weight (Kg),Started Climbing,Climber BMI
1,13740,Sébastien BOUIN,1993,FRA,180,68,2005,20.98765432098765
2,13720,Jorge diaz-rullo,1999,ESP,169,58,2011,20.307412205454995
3,13135,Alex Garriga,1998,ESP,172,53,2014,17.915089237425637
4,13130,Jonathan Siegrist,1985,USA,167,58,2004,20.796729893506402
5,12839,Piotr Schab,1996,POL,173,58,2003,19.37919743392696
6,12810,Adam Ondra,1993,CZE,185,68,1999,19.86851716581446
7,12770,Mathieu Bouyoud,1989,FRA,180,63,2002,19.444444444444443
8,12753,hugo parmentier,1998,FRA,167,58,2002,20.796729893506402
9,12680,Moritz Welt,2001,DEU,176,63,,20.33832644628099
10,12674,Domen Škofic,1994,SVN,176,63,1999,20.33832644628099
11,12530,Davide Picco,1992,ITA,,,2011,
12,12397,Peter Dawson,1998,GBR,,,2007,
13,12360,David Firnenburg,1995,DEU,180,,2001,
14,12350,Alexander Rohr,1995,CHE,182,63,,19.01944209636517
15,12345,Daniel Fuertes,1980,ESP,169,58,1995,20.307412205454995
16,12312,Jaka Šprah,1999,SVN,175,63,2007,20.571428571428573
17,12300,Romain Schieber,1985,FRA,180,68,1998,20.98765432098765
18,12300,Philipp Gaßner,2000,DEU,180,68,2006,20.98765432098765
19,12250,Moritz Perwitzschky,1999,DEU,182,78,2007,23.54788069073783
20,12225,Matteo Menardi,1998,ITA,170,63,2004,21.79930795847751
21,12210,Luca Bana,1998,ITA,170,58,2012,20.06920415224914
22,12197,Martin Tekles,1991,DEU,,,1995,
23,12195,Sascha Lehmann, ,CHE,,,,
24,12195,Fedir Samoilov,1997,UKR,162,48,2006,18.289894833104707
25,12172,Thibault Lair,1992,FRA,169,63,1998,22.058051188683873
26,12163,Marco Zanone,1994,ITA,185,73,2010,21.32943754565376
27,12140,Luke Dawson,1996,GBR,168,68,2008,24.092970521541954
28,12125,Nicholas Milburn,1995,USA,,68,1995,
29,12105,Peter Kuric,2001,SVK,177,73,2010,23.301094832264035
30,12099,Tanguy MERARD,2003,FRA,167,48,2011,17.21108680841909
31,12090,Manu Lopez,1988,FRA,165,58,1996,21.30394857667585
32,12085,KYMY DE LA PEÑA,1985,ESP,167,63,2007,22.589551436050055
33,12077,Lucien Martinez,1993,FRA,181,,,
34,12052,Christof Rauch,1994,AUT,170,68,2008,23.529411764705884
35,12046,Jean-Marc Champlong,1969,FRA,175,58,1988,18.93877551020408
36,12023,Martin Urrutia,1999,ESP,170,58,2009,20.06920415224914
37,12012,Matteo Gambaro,1974,ITA,170,58,1992,20.06920415224914
38,12000,Stefan Scherz,2001,AUT,179,68,2005,21.22280827689523
39,12000,Antoine Maire,1996,FRA,175,68,2010,22.20408163265306
40,11990,Jernej Kruder,1990,SVN,180,68,1997,20.98765432098765
41,11987,Henning Wang,1984,NOR,179,78,2002,24.343809494085704
42,11980,Stefano Folgarait, ,ITA,178,63,2010,19.883853048857468
43,11960,Illya Bakhmet-Smolenskyi,2005,UKR,138,40,2012,21.003990758244072
44,11950,Marvin Winkler, ,DEU,,,,
45,11940,Alex Honnold,1985,USA,,73,2000,
