Placeing,Score,Name,Birth Year,Country,Height (cm),Weight (Kg),Started Climbing,Climber BMI
333,10793,Ted Kingsnorth,1977,GBR,178,58,1994,18.30576947355132
334,10791,Ben Hanna, ,USA,,,,
335,10789,Matt Norgrove,1988,AUS,178,63,2008,19.883853048857468
336,10787,Franz Fackler,1960,DEU,,,1970,
337,10787,legolainas m, ,ESP,,,,
338,10786,Soma Strommer,1999,HUN,185,68,2004,19.86851716581446
339,10785,Martina Harnisch (f),1987,AUT,166,58,1996,21.04804761213529
340,10783,Yury Takzhanov,1987,RUS,179,73,2002,22.783308885490467
341,10783,Tyler Willcutt,1989,USA,182,68,2007,20.528921627822726
342,10780,Anna Mikushkina,1980,RUS,161,48,2000,18.517804097064154
343,10780,Wojtek Roj, ,POL,175,63,1984,20.571428571428573
344,10777,Ethan Walker,1991,GBR,,,1996,
345,10775,Lévy Desmarais, ,CAN,,,,
346,10773,Ebert Nel,1990,ZAF,179,63,2008,19.66230766829999
347,10767,Marc Morin,1983,FRA,183,63,2003,18.812147272238644
348,10760,Jesús Ibarz, ,ESP,,,2007,
349,10760,Guillaume Courrèges,1982,FRA,175,58,2004,18.93877551020408
350,10760,Gabriel Korbiel,1994,POL,178,73,2012,23.04002019946976
351,10758,Jdt Jdt,1995,ITA,,,,
352,10757,Molly Thompson Smith,1997,GBR,157,48,2005,19.473406629072173
353,10756,Owen Whaley,2004,USA,165,53,2006,19.467401285583104
354,10755,Engin Turker,1984,TUR,180,68,2002,20.98765432098765
355,10754,Max Bertone,2007,FRA,142,,2013,
356,10753,Ben Cooper,1988,USA,173,63,2008,21.04981790236894
357,10752,Lucy Mitchell,1993,GBR,,,,
358,10752,jared castillo,1993,ESP,,,,
359,10752,Christer Raugland,1983,NOR,170,68,2006,23.529411764705884
360,10750,Dennis Bach,1996,USA,,,2013,
361,10750,Devlin Junker,1980,USA,,68,1993,
362,10750,Apple Steff, ,DEU,,,,
363,10749,Joe Skopec,1989,CAN,,68,1996,
364,10749,Emiliyan Kolevski,1986,BGR,170,58,,20.06920415224914
365,10749,Manny Quintana,1999,USA,162,53,2012,20.195092211553114
366,10749,Kevin Heiniger,1993,CHE,182,63,1993,19.01944209636517
367,10747,Camille Doumas, ,FRA,,,1995,
368,10745,Tyler Thompson,2002,USA,,58,2009,
369,10745,Katrin Mair, ,ITA,,,,
370,10745,Benjamin Roux,1987,FRA,187,78,2010,22.305470559638533
371,10745,Rafal Bak,2001,POL,146,48,2006,22.518296115593923
372,10745,Thomas Maatz,1987,DEU,187,78,,22.305470559638533
373,10744,Oier Berruete,1998,ESP,170,58,2014,20.06920415224914
374,10742,Bastien Durand,1987,FRA,180,63,2001,19.444444444444443
375,10740,Andrea Roasio,1977,FRA,177,63,2002,20.109164033323754
376,10738,Eddie Shredder,1998,USA,,,2012,
377,10738,guillaume gomord,1986,FRA,192,78,2002,21.158854166666668
378,10735,Céline Le dily,1982,FRA,170,58,2010,20.06920415224914
379,10735,Elisabeth Lardschneider, ,ITA,,,,
380,10735,Stefan Atschreiter, ,AUT,,,,
381,10732,Mika Welter,2000,LUX,199,88,2006,22.22166106916492
382,10732,Victor Lumineau, ,FRA,177,68,2008,21.705129432793896
383,10732,Tino Lois,1978,ESP,,,2000,
384,10730,Andreas Hanisch,1982,CHE,175,,,
385,10728,Lorenzo Carasio,1996,ITA,177,63,2007,20.109164033323754
386,10725,Aristomenis Thanopoulos,1973,GRC,175,63,1991,20.571428571428573
387,10725,Tomek Stangret, ,POL,180,68,2010,20.98765432098765
388,10725,Sami Aziz,1986,DEU,188,63,1998,17.824807605251245
389,10724,Stephan Schibli,1971,CHE,180,63,1989,19.444444444444443
390,10720,Michele De Marchi, ,CHE,,,,
391,10715,Beaulieu Jeff, ,CAN,171,68,1994,23.25501863821347
392,10705,Stefano Bianchi,1981,ITA,174,63,2002,20.808561236623067
393,10705,Erik Ahrné,1980,SWE,1,,,
394,10702,Matteo Della Bordella,1984,ITA,,,2000,
395,10700,Lorenz Bonapace,2000,AUT,174,63,2006,20.808561236623067
396,10700,Jeremy Schoenborn, ,USA,,,,
397,10700,Gareth Parry,1973,GBR,,73,1988,
398,10700,Angelina (Angie ) Scarth-Johnson,2004,AUS,139,40,2011,20.702862170695102
399,10700,Sisi García,1995,ESP,172,63,2012,21.29529475392104
400,10698,Kris Suriyo,1990,GBR,178,63,2010,19.883853048857468
