Placeing,Score,Name,Birth Year,Country,Height (cm),Weight (Kg),Started Climbing,Climber BMI
301,10898,Guido Princess,1989,USA,,,2000,
302,10895,Martin Pelikán,1983,CZE,187,73,1997,20.875632703251448
303,10894,Mona Kellner,1997,DEU,,,2002,
304,10892,Camilla Bendazzoli,1997,ITA,,,,
305,10892,Raul Garcia,1983,ESP,180,73,2003,22.530864197530864
306,10891,Julian Fian,2002,AUT,178,63,2009,19.883853048857468
307,10884,Mateusz Mikosik,1974,POL,,,,
308,10883,Roby Benvenuti,1987,ITA,183,73,2003,21.798202394816204
309,10880,Javi Oliver, ,ESP,,,1998,
310,10875,dancer for mani, ,AUT,,,,
311,10873,José David Martínez,1991,MEX,178,63,2000,19.883853048857468
312,10870,Jonas Winkler,1992,DEU,191,88,2009,24.12214577451276
313,10850,Alexander Mestler,1989,USA,,68,2008,
314,10850,Reme Arenas, ,ESP,160,,,
315,10847,Rafa Diaz,1982,ESP,,,1997,
316,10845,Brad Wright,1991,AUS,177,68,2009,21.705129432793896
317,10845,Urko Deactivated,1900,ESP,,,,
318,10845,Brittany Goris, ,USA,180,,2003,
319,10843,Chris Fogarty,1991,USA,,,,
320,10842,Pedro Bergua,1981,ESP,178,68,2001,21.461936624163616
321,10840,Zoltan Komjati,1986,HUN,186,73,2004,21.10070528384784
322,10840,Piotrek Bia³as,1997,POL,175,58,2008,18.93877551020408
323,10840,Jonathan Elter,1990,DEU,178,68,2006,21.461936624163616
324,10835,Tomasz Zajac,1990,POL,169,58,2011,20.307412205454995
325,10833,Michele Reusa,2006,ITA,175,58,2013,18.93877551020408
326,10832,Brian Weaver,1984,DEU,173,68,2006,22.720438370810918
327,10830,James Alexander Turnbull,1997,GBR,184,73,2001,21.561909262759922
328,10830,Héctor Cano Maestre,1992,ESP,166,63,2010,22.8625344752504
329,10824,Alvaro Lafuente,1996,ESP,179,68,2004,21.22280827689523
330,10823,Hayden Jamieson,1993,USA,190,83,2009,22.991689750692522
331,10800,Rosen Anachkov,1992,BGR,175,68,2012,22.20408163265306
332,10800,Jasna Hodžić,1991,USA,164,53,2012,19.705532421177875
