Placing,Score,Name,DoB,Country,Height,Weight,Started Climbing,BMI
1,13 740,Sébastien BOUIN,1993,FRA,180 cm,about 68 kg,2005,
2,13 720,Jorge diaz-rullo,1999,ESP,169 cm,about 58 kg,2011,
3,13 135,Alex Garriga,1998,ESP,172 cm,about 53 kg,2014,
4,13 130,Jonathan Siegrist,1985,USA,167 cm,about 58 kg,2004,
5,12 839,Piotr Schab,1996,POL,173 cm,about 58 kg,2003,
6,12 810,Adam Ondra,1993,CZE,185 cm,about 68 kg,1999,
7,12 770,Mathieu Bouyoud,1989,FRA,180 cm,about 63 kg,2002,
8,12 753,hugo parmentier,1998,FRA,167 cm,about 58 kg,2002,
9,12 680,Moritz Welt,2001,DEU,176 cm,about 63 kg,,
10,12 674,Domen Škofic,1994,SVN,176 cm,about 63 kg,1999,
11,12 530,Davide Picco,1992,ITA,,,2011,
12,12 397,Peter Dawson,1998,GBR,,,2007,
13,12 360,David Firnenburg,1995,DEU,180 cm,,2001,
14,12 350,Alexander Rohr,1995,CHE,182 cm,about 63 kg,,
15,12 345,Daniel Fuertes,1980,ESP,169 cm,about 58 kg,1995,
16,12 312,Jaka Šprah,1999,SVN,175 cm,about 63 kg,2007,
17,12 300,Romain Schieber,1985,FRA,180 cm,about 68 kg,1998,
18,12 300,Philipp Gaßner,2000,DEU,180 cm,about 68 kg,2006,
19,12 250,Moritz Perwitzschky,1999,DEU,182 cm,about 78 kg,2007,
20,12 225,Matteo Menardi,1998,ITA,170 cm,about 63 kg,2004,
21,12 210,Luca Bana,1998,ITA,170 cm,about 58 kg,2012,
22,12 197,Martin Tekles,1991,DEU,,,1995,
23,12 195,Sascha Lehmann, ,CHE,,,,
24,12 195,Fedir Samoilov,1997,UKR,162 cm,about 48 kg,2006,
25,12 172,Thibault Lair,1992,FRA,169 cm,about 63 kg,1998,
26,12 163,Marco Zanone,1994,ITA,185 cm,about 73 kg,2010,
27,12 140,Luke Dawson,1996,GBR,168 cm,about 68 kg,2008,
28,12 125,Nicholas Milburn,1995,USA,,about 68 kg,1995,
29,12 105,Peter Kuric,2001,SVK,177 cm,about 73 kg,2010,
30,12 099,Tanguy MERARD,2003,FRA,167 cm,about 48 kg,2011,
31,12 090,Manu Lopez,1988,FRA,165 cm,about 58 kg,1996,
32,12 085,KYMY DE LA PEÑA,1985,ESP,167 cm,about 63 kg,2007,
33,12 077,Lucien Martinez,1993,FRA,181 cm,,,
34,12 052,Christof Rauch,1994,AUT,170 cm,about 68 kg,2008,
35,12 046,Jean-Marc Champlong,1969,FRA,175 cm,about 58 kg,1988,
36,12 023,Martin Urrutia,1999,ESP,170 cm,about 58 kg,2009,
37,12 012,Matteo Gambaro,1974,ITA,170 cm,about 58 kg,1992,
38,12 000,Stefan Scherz,2001,AUT,179 cm,about 68 kg,2005,
39,12 000,Antoine Maire,1996,FRA,175 cm,about 68 kg,2010,
40,11 990,Jernej Kruder,1990,SVN,180 cm,about 68 kg,1997,
41,11 987,Henning Wang,1984,NOR,179 cm,about 78 kg,2002,
42,11 980,Stefano Folgarait, ,ITA,178 cm,about 63 kg,2010,
43,11 960,Illya Bakhmet-Smolenskyi,2005,UKR,138 cm,about 40 kg,2012,
44,11 950,Marvin Winkler, ,DEU,,,,
45,11 940,Alex Honnold,1985,USA,,about 73 kg,2000,
46,11 930,KOEN BAEKELANDT,1995,BEL,180 cm,about 100 kg,2007,
47,11 905,Lukasz Dudek,1983,POL,176 cm,about 63 kg,1999,
48,11 897,Solveig Korherr,1998,DEU,,,,
49,11 897,Cameron Hörst,2000,USA,180 cm,about 68 kg,2003,
50,11 887,Wojtek Pełka,1999,POL,166 cm,about 53 kg,2006,
51,11 885,rélux Païs, ,FRA,100 cm,about 100 kg,,
52,11 880,Giovanni Placci,2001,ITA,164 cm,about 58 kg,2012,
53,11 855,Lorenzo Bogliacino,1997,ITA,175 cm,about 63 kg,2009,
54,11 853,Alessandro Larcher,1999,ITA,174 cm,about 63 kg,2013,
55,11 852,Matt Fultz,1991,USA,183 cm,about 78 kg,2002,
56,11 847,Filip Schenk,2000,ITA,170 cm,about 63 kg,2006,
57,11 845,Matthias Schiestl,1989,AUT,166 cm,about 63 kg,,
58,11 845,Alex Waterhouse,1997,GBR,,,,
59,11 837,BJ Tilden,1980,USA,,about 68 kg,1995,
60,11 836,Benjamin Lindfors, ,USA,,,,
61,11 821,Hernan Garcia,1982,MEX,168 cm,about 48 kg,2004,
62,11 820,Alexey Rubtsov,1988,RUS,178 cm,about 68 kg,2005,
63,11 815,Jakob Bizjak,1991,SVN,183 cm,about 78 kg,2006,
64,11 790,Nico Ferlitsch,2001,AUT,181 cm,about 68 kg,2009,
65,11 767,luis rodriguez martin,1988,ESP,170 cm,about 58 kg,2010,
66,11 752,Andrea Zanone,1992,ITA,180 cm,about 63 kg,2007,
67,11 750,Christoph Kappacher,1992,AUT,186 cm,,,
68,11 750,Daniel Müller,1985,DEU,181 cm,about 68 kg,2000,
69,11 745,"Grzegorz ""Buła"" Golowczyk",1994,POL,176 cm,about 68 kg,2006,
70,11 742,Clemens Berger,1998,AUT,170 cm,about 58 kg,,
71,11 720,Maho Normand,2005,FRA,140 cm,about 40 kg,,
72,11 705,Tamás Farkas,1994,HUN,,,2008,
73,11 690,Pierre Marzullo,2007,FRA,142 cm,,2016,
74,11 690,lucas de jesus martin,1996,ESP,167 cm,about 53 kg,2010,
75,11 680,"Adam ""Gaduła"" Karpierz",1991,POL,180 cm,,2003,
76,11 675,Stefano salvaterra,1981,ITA,170 cm,about 63 kg,,
77,11 665,Rafa Fanega,1975,ESP,163 cm,about 58 kg,1991,
78,11 660,Jonas Häring,1996,DEU,189 cm,about 73 kg,,
79,11 653,Ralf Grabowski,1978,DEU,184 cm,,1998,
80,11 647,Ben Herrington,1986,USA,182 cm,about 68 kg,2008,
81,11 639,Martina Demmel,2001,DEU,157 cm,about 53 kg,2017,
82,11 638,Simon Weißer,2000,DEU,,,2011,
83,11 632,Obed Hardmeier,1994,CHE,169 cm,,2009,
84,11 632,Vasya Vorotnikov,1987,USA,175 cm,about 73 kg,1997,
85,11 617,Alberto Gines Lopez,2002,ESP,169 cm,about 58 kg,2006,
86,11 610,Evan Hau,1986,CAN,165 cm,about 58 kg,2004,
87,11 610,Štěpán Volf,1996,CZE,176 cm,about 68 kg,2011,
88,11 605,Ida Kupś,1999,POL,169 cm,,2008,
89,11 602,Jan Hojer,1992,DEU,186 cm,,2003,
90,11 600,Nathan Hadley,1992,USA,1 cm,about 68 kg,2000,
91,11 597,Matthew Zane, ,USA,,,,
92,11 597,Julien BM,1990,CAN,180 cm,about 73 kg,2005,
93,11 590,Marcello Bombardi,1993,ITA,164 cm,about 58 kg,1999,
94,11 585,Alfred J.Kwak,1989,DEU,174 cm,,,
95,11 575,Alex Espejo-Saavedra,1985,ESP,168 cm,,,
96,11 550,Radek Votoček,2001,CZE,183 cm,about 68 kg,2011,
